Rok,waluta,roczna_inflacja
1997,PLN,0.149
1997,EUR,0.016
1997,USD,0.023
1998,PLN,0.118
1998,EUR,0.011
1998,USD,0.016
1999,PLN,0.073
1999,EUR,0.011
1999,USD,0.022
2000,PLN,0.101
2000,EUR,0.021
2000,USD,0.034
2001,PLN,0.055
2001,EUR,0.024
2001,USD,0.028
2002,PLN,0.019
2002,EUR,0.023
2002,USD,0.016
2003,PLN,0.008
2003,EUR,0.021
2003,USD,0.023
2004,PLN,0.035
2004,EUR,0.022
2004,USD,0.027
2005,PLN,0.021
2005,EUR,0.022
2005,USD,0.034
2006,PLN,0.010
2006,EUR,0.022
2006,USD,0.032
2007,PLN,0.025
2007,EUR,0.021
2007,USD,0.029
2008,PLN,0.042
2008,EUR,0.033
2008,USD,0.038
2009,PLN,0.035
2009,EUR,0.003
2009,USD,-0.003
2010,PLN,0.026
2010,EUR,0.016
2010,USD,0.016
2011,PLN,0.043
2011,EUR,0.027
2011,USD,0.032
2012,PLN,0.037
2012,EUR,0.025
2012,USD,0.021
2013,PLN,0.009
2013,EUR,0.014
2013,USD,0.015
2014,PLN,0.000
2014,EUR,0.004
2014,USD,0.016
2015,PLN,-0.009
2015,EUR,0.002
2015,USD,0.001
2016,PLN,-0.006
2016,EUR,0.002
2016,USD,0.013
2017,PLN,0.020
2017,EUR,0.015
2017,USD,0.021
2018,PLN,0.016
2018,EUR,0.018
2018,USD,0.024
2019,PLN,0.023
2019,EUR,0.012
2019,USD,0.018
2020,PLN,0.034
2020,EUR,0.003
2020,USD,0.012
2021,PLN,0.051
2021,EUR,0.026
2021,USD,0.047
2022,PLN,0.144
2022,EUR,0.084
2022,USD,0.080
2023,PLN,0.114
2023,EUR,0.055
2023,USD,0.041
2024,PLN,0.036
2024,EUR,0.024
2024,USD,0.030
